timestep	temperature	potential_energy	kinetic_energy	bond_harmonic_energy	pppm_energy	pair_lj_energy	angle_harmonic_energy
47300	812.4147267	932.9178786	2437.24418	832.1918459	-12.73935286	0	56.12226242
47400	657.7904127	1001.816198	1973.371238	965.685643	-12.73935286	0	6.99660184
47500	789.8072847	3887.695184	2369.421854	3854.785611	-12.73935286	0	7.676600782
47600	166.7477715	4973.705022	500.2433145	4804.819125	-12.63315723	0	142.6100556
47700	1750.355839	2160.427911	5251.067518	2031.516847	-12.63315723	0	65.52563488
47800	1291.090567	1232.618349	3873.271701	831.704577	-12.73935286	0	351.5876223
47900	882.6550966	4330.853575	2647.96529	4162.425717	-12.73935286	0	139.1147559
48000	1739.814003	172.4183777	5219.442009	0.1762924015	-12.45320309	0	143.1417851
48100	1732.875358	3618.317539	5198.626074	3259.517968	-12.45320309	0	316.6290702
48200	428.5371318	953.9560732	1285.611395	859.1811103	-12.73935286	0	37.22025154
48300	685.1308252	5232.305404	2055.392476	5065.022581	-12.73935286	0	136.2593198
48400	238.7789899	361.1561688	716.3369696	276.0126222	-12.73935286	0	49.62810885
48500	301.5317062	3304.099745	904.5951185	3259.464932	-12.73935286	0	18.45943742
48600	421.9607021	886.4176175	1265.882106	585.4796785	-12.73935286	0	250.5919033
48700	362.5434955	3547.796994	1087.630486	3404.578145	-12.73935286	0	114.3082887
48800	982.1130951	3002.181646	2946.339285	2784.122354	-12.73935286	0	186.870122
48900	853.6668725	818.9267784	2561.000617	680.7640635	-12.73935286	0	101.8089144
49000	435.1237157	2285.513592	1305.371147	2171.831563	-12.73935286	0	73.56467029
49100	539.0125368	2365.55228	1617.03761	2282.336618	-12.63315723	0	14.77999945
49200	268.3404988	669.8156102	805.0214963	618.3049118	-12.73935286	0	18.86481422
49300	787.7808056	3747.957312	2363.342417	3521.381223	-12.73935286	0	191.5874339
49400	1073.279678	2332.985027	3219.839035	2234.227439	-11.9983652	0	64.00610845
49500	571.7182559	2055.725456	1715.154768	2021.565557	-12.73935286	0	8.723547872
49600	390.3870083	968.9466909	1171.161025	898.1815438	-12.73935286	0	13.50919027
49700	955.0726644	7815.396904	2865.217993	7581.991611	-12.73935286	0	202.8570276
49800	250.6517629	439.5946909	751.9552887	391.2980997	-12.73935286	0	2.784033881
49900	870.0527972	5081.658808	2610.158392	5057.260967	-12.73935286	0	1.628784107
50000	324.2991731	2106.974096	972.8975194	1398.206293	-11.99836533	0	662.5882771
50100	284.2244803	1393.472904	852.6734408	1338.336873	-12.63315723	0	18.82332742
50200	476.206336	1185.842932	1428.619008	891.9184957	-11.76864854	0	245.1999119
50300	230.3903481	3347.421011	691.1710443	2891.524707	-12.73935286	0	395.3401771
50400	872.1726095	1824.171601	2616.517829	1471.608887	-12.73935286	0	313.4978555
50500	1419.528254	2036.857395	4258.584763	1919.524497	-12.73935286	0	85.42056398
50600	506.6509139	582.6572227	1519.952742	531.0388757	-12.63315723	0	5.051246287
50700	599.0256019	4731.906216	1797.076806	4550.556	-12.73935286	0	148.8766813
50800	628.9270937	4693.013194	1886.781281	4611.713747	-12.45320311	0	50.24192628
50900	509.9141531	495.1212008	1529.742459	323.3695337	-12.73935286	0	141.7992574
51000	421.2483259	2046.390898	1263.744978	1960.056018	-12.73935286	0	56.07316051
51100	80.73297667	1123.563115	242.19893	1004.351663	-12.73935286	0	85.21318413
51200	455.8636414	3861.508692	1367.590924	3790.767033	-12.73935286	0	43.07235315
51300	457.6687372	11382.66459	1373.006212	10779.86324	-12.73935286	0	568.7337081
51400	996.9212453	1746.127467	2990.763736	1493.733737	-12.73935286	0	215.8330452
51500	1213.181143	1330.557234	3639.543429	1287.320998	-12.73935286	0	12.4576595
51600	1329.902626	4502.986568	3989.707878	4411.807393	-12.45320314	0	2.920524932
51700	695.9338513	145.0330202	2087.801554	17.8283109	-12.73935286	0	97.41775337
51800	798.7772999	5238.206922	2396.3319	5197.700835	-12.73935286	0	15.49463149
51900	254.2747981	6727.424154	762.8243944	6615.827455	-12.73935286	0	85.08823492
52000	496.6154131	961.4151099	1489.846239	727.6686066	-12.73935286	0	192.9590519
52100	326.9995566	617.5293542	980.9986699	497.4384795	-12.73935286	0	81.43021193
52200	364.0837139	3103.458495	1092.251142	2643.129333	-12.73935286	0	400.8194435
52300	866.3214236	261.6109924	2598.964271	79.14930931	-12.73935286	0	130.9267806
52400	140.5657013	6970.097224	421.697104	6651.062101	-11.99836534	0	280.8244542
52500	402.3835242	1566.712037	1207.150572	1421.961402	-12.63315723	0	111.3509322
52600	414.8529356	4085.394622	1244.558807	4043.583121	-12.73935286	0	15.91950395
52700	240.537114	1258.410222	721.6113421	964.2880612	-12.63315723	0	214.5688327
52800	1202.357571	1515.417508	3607.072714	1025.031611	-12.73935286	0	426.3154702
52900	441.7531984	2196.26555	1325.259595	2052.548003	-12.73935286	0	112.2752844
53000	564.1784784	952.9198249	1692.535435	906.6647946	-12.73935286	0	0.02680028719
53100	501.7206286	3538.118394	1505.161886	3405.416479	-12.73935286	0	102.2130672
53200	324.687342	7903.444233	974.062026	7838.843585	-12.63315723	0	40.30415977
53300	50.58006432	1465.708795	151.7401929	1349.303663	-12.73935286	0	84.71442611
53400	1014.74167	604.8976544	3044.225011	263.6484433	-12.73935286	0	306.4532222
53500	844.6628684	2105.762468	2533.988605	1812.490863	-12.73935286	0	257.1489251
53600	290.2846597	2303.314036	870.8539792	2240.739616	-12.63315723	0	35.46166139
53700	600.9013486	4057.449514	1802.704046	3732.554817	-12.73935286	0	281.0845602
53800	551.2256962	3094.686758	1653.677089	2899.349202	-12.4532031	0	161.4857169
53900	318.6730848	816.4349845	956.0192545	691.8281599	-12.73935286	0	82.19120257
54000	526.710305	1718.842994	1580.130915	1422.986451	-12.63315723	0	267.7606792
54100	333.6606789	2327.937209	1000.982037	2099.741721	-12.63315723	0	178.2057253
54200	1559.605775	7117.081268	4678.817324	6625.62362	-11.99836519	0	454.3613781
54300	707.1138329	325.649301	2121.341499	256.5453458	-12.73935286	0	39.18699334
54400	694.1314451	784.3336755	2082.394335	529.8648892	-12.73935286	0	209.3765264
54500	463.2800606	596.6066923	1389.840182	517.2297111	-12.73935286	0	46.49056813
54600	1358.178939	2933.280124	4074.536818	2904.315601	-12.63315723	0	2.993203736
54700	380.9984321	337.5395405	1142.995296	303.9518913	-12.73935286	0	4.898318712
54800	586.7981854	3095.383106	1760.394556	3068.290622	-12.63315723	0	2.969820156e-06
54900	414.3213649	306.5230849	1242.964095	261.2301278	-12.45320311	0	5.295233155
55000	550.2850558	12503.82146	1650.855167	12087.44848	-11.9983652	0	381.7352555
55100	354.4220155	939.7912231	1063.266046	571.8691771	-12.63315723	0	319.6438455
55200	827.4246778	4346.985096	2482.274033	4303.97362	-11.9983652	0	14.38397949
55300	733.13153	1138.264939	2199.39459	1013.170272	-12.73935286	0	78.28259586
55400	1288.670703	4061.358108	3866.012108	3993.789164	-12.73935286	0	35.05714623
55500	361.653548	3510.582906	1084.960644	3461.892571	-12.73935286	0	21.35845852
55600	609.3595978	334.2735725	1828.078793	68.7892733	-12.45320309	0	203.3683866
55700	518.9616212	2162.140939	1556.884864	1891.228336	-12.73935286	0	237.6700025
55800	274.027054	279.1543057	822.0811621	123.6127071	-12.73935286	0	101.6266189
55900	533.8940591	3242.170885	1601.682177	2942.66086	-12.73935286	0	255.3907307
56000	334.365804	277.5725182	1003.097412	122.475349	-11.99836534	0	106.907292
56100	595.0022317	4113.565178	1785.006695	3768.134728	-11.99836534	0	299.4476936
56200	245.6853967	688.5711968	737.05619	652.5636798	-12.73935286	0	9.240963271
56300	293.8712935	2418.481004	881.6138804	2332.967949	-12.73935286	0	57.28399518
56400	271.4329651	1610.737797	814.2988952	1582.454148	-12.73935286	0	0.1465337697
56500	810.4919136	4537.625857	2431.475741	4511.045888	-11.99836534	0	0.152825163
56600	652.2013862	6931.132305	1956.604159	6804.951715	-12.45320314	0	97.80819717
56700	1374.106699	1701.915284	4122.320097	1212.379805	-12.53997642	0	443.4028887
56800	793.2306439	635.6590862	2379.691932	374.7796355	-12.73935286	0	232.6565256
56900	289.2985354	7542.903935	867.8956061	7477.827738	-12.73935286	0	40.95681077
57000	577.66334	2152.622718	1732.99002	2120.186965	-12.73935286	0	7.473379848
57100	289.2236885	2617.955967	867.6710656	2530.17196	-11.99836534	0	59.89447663
57200	398.7820115	666.4032282	1196.346034	434.2852936	-12.73935286	0	186.7960214
57300	900.2743276	4094.980968	2700.822983	4026.860927	-12.73935286	0	38.26985155
57400	1125.018124	4420.934688	3375.054371	4388.211945	-12.63315723	0	12.07832736
57500	1328.945008	2154.433963	3986.835025	2083.302451	-12.73935286	0	7.072001192
57600	220.181039	1574.349245	660.543117	1463.17535	-12.73935286	0	77.31696517
57700	390.7217257	442.1769099	1172.165177	360.9156475	-12.73935286	0	38.17429027
57800	274.9876187	2959.628924	824.9628562	2871.209515	-12.73935286	0	61.43405506
57900	1108.2554	3938.426666	3324.766199	3914.240277	-12.73935286	0	0.5524435716
58000	564.9139494	1947.508373	1694.741848	1573.751861	-12.73935286	0	334.6400894
58100	1657.208723	3454.527585	4971.626169	3281.149738	-12.4532031	0	138.8326473
58200	2028.939165	2702.8181	6086.817496	2625.435902	-11.99836534	0	39.82137446
58300	735.0146228	1495.749759	2205.043869	1224.728799	-12.73935286	0	221.4345143
58400	496.9827672	401.7175289	1490.948302	358.1560297	-11.92654839	0	14.82075806
58500	391.5700619	4102.623761	1174.710186	3892.648633	-12.32564357	0	177.4552158
58600	1795.521856	6491.397267	5386.565567	6228.070167	-12.73935286	0	229.3058966
58700	1292.726006	100.992233	3878.178017	4.578722627	-12.4532031	0	66.87935858
58800	367.6183442	4780.397257	1102.855033	4444.468033	-11.99836522	0	294.6237263
58900	1276.157573	1835.287196	3828.47272	1739.620801	-12.73935286	0	45.45468862
59000	412.0943401	3511.820371	1236.28302	3404.653567	-12.73935286	0	62.87070115
59100	841.1190834	1552.604339	2523.35725	1457.274808	-12.73935286	0	36.25089474
59200	1004.444425	2528.380845	3013.333274	2480.739013	-12.73935286	0	19.89715294
59300	662.0997675	2905.272034	1986.299302	2659.028969	-12.63315723	0	207.7542435
59400	604.7568664	3546.64364	1814.270599	2942.401416	-12.73935286	0	567.5029926
59500	323.650244	3496.273793	970.950732	3475.87449	-12.73935286	0	0.2985549029
59600	815.6030164	1486.35644	2446.809049	1276.241687	-12.45320309	0	160.8149278
59700	982.7463577	1121.521068	2948.239073	1063.63482	-12.73935286	0	1.083473841
